age,recruitment_person_number,acceptance_method_code,age_limit,company_home_page_url,company_name,company_representative,company_staff_contact,company_staff_name,company_type,company_working_name,coords,deadline_status,detailed_contents,employment_shape,employment_shape_name,etc_item,from_acceptance_date,job_category,job_code,job_id,link_system_id,link_system_name,place_detail_address,recruitment_title,to_acceptance_date,work_place_code,work_place_name,x,y,zip_code
60,1,방문,,http://echogreentm.co.kr,주식회사에코그린티엠,백송이,,백송이,N,주식회사에코그린티엠,"126.8439152,37.5583087",접수중,,기타,CM0105,장애인 ,20240418,,,DdA3162404182017,B,워크넷,"07591 서울특별시 강서구 공항대로 325 (등촌동, 에이스빌딩)",염창동 아파트   청소원 채용,20240617,010040,,126.8439152,37.5583087,07591
60,1,방문,,http://echogreentm.co.kr,주식회사에코그린티엠,백송이,,백송이,N,주식회사에코그린티엠,"126.8439152,37.5583087",접수중,,기타,CM0105,장애인 ,20240418,,,DdA3162404182022,B,워크넷,"07591 서울특별시 강서구 공항대로 325 (등촌동, 에이스빌딩)",방화역 아파트  청소원 채용,20240617,010040,,126.8439152,37.5583087,07591
60,1,방문,,,(주）더블유에프텍,이영길,02-418-0012,이영길,N,(주）더블유에프텍,"127.1024672,37.4731508",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240424,,,K120032404240030,B,워크넷,"06373 서울특별시 강남구 자곡로 172, 강남엑슬루프라임 309호 ",경비원모집,20240508,010010,인천 중구,127.1024672,37.4731508,06373
60,1,방문,,http://www.proscom.co.kr,(주)프로에스콤,신양주,02-2183-0101,신양주,N,(주)프로에스콤,"127.0465880,37.5032509",접수중,,기타,CM0105,"보훈취업지원대상자, 장기복무 제대군인, 장애인, 차량소지자 ",20240426,,,K120032404260004,B,워크넷,"06211 서울특별시 강남구 테헤란로 322, 한신인터밸리 서관 20층 (역삼동, 한신인터밸리24 서관 20층)",[복지카드 소지자 우대] 쿠팡 김해 제1 물류센터 보안사원 채용,20240513,010010,경남 김해시,127.0465880,37.5032509,06211
60,1,방문,,www.s-tec.co.kr/,(주)에스텍시스템,이병화,,이병화,N,(주)에스텍시스템,"127.0781374,37.4935823",접수중,,기타,CM0105,"장애인, 차량소지자 ",20240426,,,K120032404260019,B,워크넷,"06336 서울특별시 강남구 개포로 619 (개포동, 서울강남우체국청사 8층)",[화성시 동탄역] 라스플로레스 교대직 보안대원 모집(격일제),20240531,010010,경기 화성시,127.0781374,37.4935823,06336
60,1,방문,,,(주)한얼관리,서경석,02-445-0291,서경석,N,(주)한얼관리,"127.0839247,37.4898867",접수중,,기타,CM0105,"(준)고령자(50세이상), 장애인 ",20240426,,A01002,K120032404260036,B,워크넷,"06343 서울특별시 강남구 일원로9길 28, 202호 (일원동)",기전과장 구인(소방안전관리자 특급 필수),20240511,010010,경기 용인시 수지구,127.0839247,37.4898867,06343
60,1,방문,,,주식회사두언,김형선,02-516-5614,김형선,N,주식회사두언,"127.0239056,37.5240054",접수중,,기타,CM0105,"(준)고령자(50세이상), 장애인 ",20240426,,,K120032404260040,B,워크넷,"06029 서울특별시 강남구 논현로175길 63 (신사동, 호창빌딩)",동광(부영)주택 건설현장 현장정리원(화성 향남),20240515,010010,경기 화성시,127.0239056,37.5240054,06029
60,1,방문,,www.gntsolution.com,(주)지앤티솔루션,강상철,070-7123-8817,강상철,N,(주)지앤티솔루션,"126.9738597,37.5590959",접수중,,기타,CM0105,"(준)고령자(50세이상), 북한이탈주민, 장애인 ",20240409,,,K120122404090035,B,워크넷,"04512 서울특별시 중구 세종대로 23 (남대문로5가, 창화빌딩)",[지앤티솔루션] 모빌리티사업본부 UTIC 운영팀 모니터링 팀원 모집(주말근무자),20240608,170000,,126.9738597,37.5590959,04512
60,1,방문,,www.wooji.co.kr/,우지산업(주),송문현,,송문현,N,우지산업(주),"126.9706735,37.5750612",접수중,,기타,CM0105,"(준)고령자(50세이상), 운전면허증, 장애인, 차량소지자 ",20240416,,,K120122404160035,B,워크넷,"03169 서울특별시 종로구 사직로10길 17, 2층 (내자동, 인왕빌딩)",평택(오산IC 인근) 냉동물류센터 설비(기계)과장 모집,20240531,010230,경기 평택시,126.9706735,37.5750612,03169
60,1,방문,,http://www.samkoo.com/,（주）삼구아이앤씨,김형규,,김형규,N,（주）삼구아이앤씨,"126.9884451,37.5676514",접수중,,기타,CM0105,"(준)고령자(50세이상), 운전면허증, 장애인 ",20240418,,,K120122404180024,B,워크넷,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)",[스타벅스 전남도청DT] 차량안내원 모집(주말/공휴일),20240531,010240,전남 무안군,126.9884451,37.5676514,04542
60,1,방문,,http://www.miraebm.com,(주）미래비엠,정정운,02-2004-7082,정정운,N,(주）미래비엠,"127.0126965,37.5578977",접수중,,기타,CM0105,"(준)고령자(50세이상), 보훈취업지원대상자, 장기복무 제대군인, 장애인, 차량소지자 소터장비 유지보수 경험자 우대
기계관련 경험자 우대",20240424,,,K120122404240021,B,워크넷,"04590 서울특별시 중구 다산로 162 (신당동, 약수빌딩 4층)",이마트 여주물류센터 공무소터직종 채용,20240623,010240,경기 여주시,127.0126965,37.5578977,04590
60,1,방문,,http://www.ntck.or.kr,재단법인 국립극단,박정희,02-3279-2211,박정희,N,재단법인 국립극단,"127.0013729,37.5764627",접수중,,기타,CM0105,장애인 세부내용 공고문 참고,20240424,,,K120122404240041,B,워크넷,"03082 서울특별시 종로구 대학로 57, 교육동 2층 (연건동, 홍익대학교대학로캠퍼스)",(재)국립극단 2024년 제3차 직원 채용 공고 - 공연제작 프로듀서,20240514,010230,서울 종로구,127.0013729,37.5764627,03082
60,1,방문,,http://www.ntck.or.kr,재단법인 국립극단,박정희,02-3279-2211,박정희,N,재단법인 국립극단,"127.0013729,37.5764627",접수중,,기타,CM0105,장애인 세부내용 공고문 참고,20240424,,,K120122404240042,B,워크넷,"03082 서울특별시 종로구 대학로 57, 교육동 2층 (연건동, 홍익대학교대학로캠퍼스)",(재)국립극단 2024년 제3차 직원 채용 공고 - 사무국장,20240514,010230,서울 종로구,127.0013729,37.5764627,03082
60,1,방문,,http://www.samkoo.com/,（주）삼구아이앤씨,김형규,,김형규,N,（주）삼구아이앤씨,"126.9884451,37.5676514",접수중,,시간제일자리,CM0103,"(준)고령자(50세이상), 장애인 ",20240502,,,K120122405020011,B,워크넷,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)",[삼성스토어 미아점] 미화 근무자 (1분) 모집,20240511,010240,서울 강북구,126.9884451,37.5676514,04542
60,1,방문,,www.hae-chang.co.kr,해창개발(주),박규하,070-4677-5242,박규하,N,해창개발(주),"127.0257027,37.4874951",접수중,,기타,CM0105,"고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장기복무 제대군인, 장애인 고속도로 경력 우대",20240417,,,K120142404170026,B,워크넷,"06727 서울특별시 서초구 효령로 380, 8층 (서초동)","강진광주2공구 토목 현장 공무,공사 담당자 모집(경력직)",20240616,010150,,127.0257027,37.4874951,06727
60,1,방문,,www.hae-chang.co.kr,해창개발(주),박규하,070-4677-5242,박규하,N,해창개발(주),"127.0257027,37.4874951",접수중,,기타,CM0105,"고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장기복무 제대군인, 장애인 수직구 터널 경력자 우대",20240417,,,K120142404170027,B,워크넷,"06727 서울특별시 서초구 효령로 380, 8층 (서초동)",평택~오송2복선화3공구 토목현장 공사 담당자(경력직) 모집,20240616,010150,충남 천안시 동남구,127.0257027,37.4874951,06727
60,1,방문,,,(주)이노서브비엠,김민동,,김민동,N,(주)이노서브비엠,"127.0422987,37.4731940",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240417,,,K120142404170029,B,워크넷,"06777 서울특별시 서초구 언남길 43, 4층 (양재동, 이노빌딩)",호텔 스카이파크 센트럴 명동점 시설기사 모집,20240608,010150,,127.0422987,37.4731940,06777
60,1,방문,,,(주)이노서브비엠,김민동,,김민동,N,(주)이노서브비엠,"127.0422987,37.4731940",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240419,,,K120142404190026,B,워크넷,"06777 서울특별시 서초구 언남길 43, 4층 (양재동, 이노빌딩)",호텔 스카이파크 대전점 시설소장 모집,20240618,010150,대전 유성구,127.0422987,37.4731940,06777
